# Title: Install Community Members,,,,,,,,,,,,,,,,,,,,,,,,,
# Description: This option loads Community members on the publish instance,,,,,,,,,,,,,,,,,,,,,,,,,
# The following lines are joining a few users to the site previously created,,,,,,,,,,,,,,,,,,,,,,,,,
SiteMembers,/content/sites/communities/en/configuration.json,addMembers,weston.mccall@dodgit.com,addMembers,aaron.mcdonald@mailinator.com,addMembers,jason.werner@dodgit.com,addMembers,ryan.palmerspambob.com,addMembers,josh.bradley@pookmail.com,addMembers,rebekah.larsen@trashymail.com,addMembers,andrew.schaeffer@trashymail.com,addMembers,donna.billups@pookmail.com,addMembers,boyd.larsen@dodgit.com,addMembers,emily.andrews@mailinator.com,addMembers,felicia.carter@trashymail.com,addMembers,ashley.thompson@spambob.com
SlingPost,/libs/granite/security/post/authorizables.html,authorizableId,aem-scoring-users,./profile/givenName,AEM Scoring Users,aboutMe,Users for AEM Communities Scoring Demo Site,createGroup,1,,,,,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-9ffd332e53215d710a490d45@adobeid,password,password,fname,Keith,lname,Rose,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-bf442bae4e2f7c9c0a490d4a@adobeid,password,password,fname,Leonard,lname,Bradley,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-7b2c08c246832d599920157f@adobeid,password,password,fname,Boyd,lname,Creative,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-37fa6fce4c7919150a04b82c@adobeid,password,password,fname,Leonard,lname,Billups,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-445e0978534c1e530a490d4c@adobeid,password,password,fname,Carlene,lname,Huggins,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-459f0ca146579924992015d5@adobeid,password,password,fname,Ashley,lname,Bradley,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-3bbd4f304e8181730a490d45@adobeid,password,password,fname,Ralph,lname,Aja,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-ae7d415353a344310a490d44@adobeid,password,password,fname,Scott,lname,Dufault,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-433862e750b1fa2e0a490d44@adobeid,password,password,fname,Omar,lname,Rose,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-aea414f64e3935fd0a490d45@adobeid,password,password,fname,Yolanda,lname,Palmer,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-1c2c3bc752444af20a490d4d@adobeid,password,password,fname,Charlotte,lname,Capp,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-f4c668c94f09c6730a490d4c@adobeid,password,password,fname,Ryan,lname,Thompson,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-3db81253510788270a490d45@adobeid,password,password,fname,Jason,lname,Creative,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-8ad76de54dbc455c0a490d45@adobeid,password,password,fname,Kerry,lname,Avery,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-43373704532ac80b0a490d44@adobeid,password,password,fname,Carl,lname,Smith,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-afef3ac7543268080a4c98c6@adobeid,password,password,fname,Leonard,lname,Saner,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-7f5a4a3c42075ef399201549@adobeid,password,password,fname,Luz,lname,Jones,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-352e5ff853758e890a490d44@adobeid,password,password,fname,Charlotte,lname,Smith,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-170e2bcd51b598ea0a490d45@adobeid,password,password,fname,Willard,lname,Echavez,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-5909759650446cb20a490d4d@adobeid,password,password,fname,Kelly,lname,Dombrowski,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-d10048dc507e88d00a490d45@adobeid,password,password,fname,Sean,lname,Johnson,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-87dd64f554e640c10a4c98bc@adobeid,password,password,fname,Willard,lname,Monroe,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-6c4e42004d6d22130a04b88b@adobeid,password,password,fname,Jason,lname,Mabry,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-b8d043cf4fd99e820a490d4d@adobeid,password,password,fname,Ryan,lname,Monroe,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-00af43764f54be740a490d44@adobeid,password,password,fname,Olive,lname,Creative,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-105e2f8c4664e6b8992015c2@adobeid,password,password,fname,Laura,lname,Plunkett,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
SlingPost,/content/sites/scoring/en/signup/jcr:content/content/primary/signup.social.json,email,ims-61a906404a0d5add992015c3@adobeid,password,password,fname,Carlene,lname,Billups,:operation,social:createTenantUser,aboutMe,I'm a demo user for AEM Communities Scoring site,,,,,,,,,,,,
